County,Total Population,Poverty Rate,Unemployment Rate,Median Household Income,Median Home Value of Owned Homes,Less Than High School Diploma Rate,College Education or Higher Rate,Median Age,Facilities,Elderly,Facilities per 1000 Elderly,Facility Saturation
Anoka,363887.0,5.89,6.3,82175.0,232400.0,6.02,30.51,39.0,134,56860.0,2.3566654941962715,Medium
Becker,35183.0,11.0,6.2,60284.0,198400.0,6.86,24.97,42.0,15,8672.0,1.7297047970479704,Low
Beltrami,46228.0,18.89,6.3,49160.0,162600.0,7.87,29.22,34.0,15,8878.0,1.6895697229105655,Low
Benton,41379.0,10.32,6.6,57715.0,174900.0,8.29,23.57,36.0,15,7022.0,2.1361435488464826,Medium
Blue Earth,69112.0,17.61,5.4,57429.0,184800.0,5.47,34.82,31.0,19,11971.0,1.5871689917300142,Low
Brown,25912.0,6.94,5.1,61120.0,141900.0,6.48,22.18,42.0,10,6747.0,1.4821402104639099,Low
Carlton,36207.0,11.29,7.2,63098.0,171400.0,6.02,22.12,41.0,26,7712.0,3.371369294605809,High
Carver,106922.0,4.09,5.2,101496.0,313200.0,3.88,48.95,38.0,22,15118.0,1.4552189443048023,Low
Cass,30066.0,13.56,9.2,52204.0,194200.0,7.79,23.19,49.0,15,8810.0,1.70261066969353,Low
Chisago,56621.0,5.97,6.6,83464.0,231500.0,5.36,21.49,41.0,13,10043.0,1.2944339340834412,Low
Clay,65318.0,12.26,4.3,65269.0,197100.0,5.11,34.17,33.0,24,10391.0,2.309691078818208,Medium
Crow Wing,66123.0,10.77,7.2,56549.0,198300.0,5.92,24.69,45.0,30,17574.0,1.707067258449983,Low
Dakota,439882.0,6.05,6.2,86036.0,266000.0,4.95,42.22,38.0,192,72407.0,2.651677324015634,Medium
Dodge,20867.0,5.14,5.4,74575.0,183900.0,5.14,25.75,38.0,5,3555.0,1.4064697609001406,Low
Douglas,39006.0,7.6,4.8,63819.0,214800.0,4.89,26.03,44.0,16,10366.0,1.543507621068879,Low
Fillmore,21228.0,10.74,5.0,61207.0,153800.0,9.0,22.19,42.0,10,5535.0,1.8066847335140017,Low
Freeborn,30895.0,11.01,5.6,53631.0,113800.0,11.21,17.14,44.0,10,8110.0,1.2330456226880395,Low
Goodhue,47582.0,9.33,5.9,66800.0,204100.0,5.63,26.02,42.0,18,11370.0,1.5831134564643798,Low
Hennepin,1281565.0,10.45,6.6,78167.0,276900.0,6.66,50.06,37.0,976,212810.0,4.586250646116254,High
Hubbard,21344.0,11.82,7.1,56709.0,193600.0,6.96,27.36,49.0,7,5888.0,1.188858695652174,Low
Isanti,41135.0,7.32,6.8,74616.0,196800.0,7.49,18.5,40.0,7,7653.0,0.9146739840585392,Low
Itasca,45014.0,12.19,8.4,55139.0,164100.0,6.01,23.05,46.0,30,12289.0,2.441207584018228,Medium
Kandiyohi,43732.0,10.51,4.8,60294.0,168900.0,10.98,23.26,39.0,22,9618.0,2.2873778332293617,Medium
Le Sueur,28674.0,8.54,6.8,71080.0,207400.0,6.12,23.0,41.0,8,5743.0,1.3930001741250218,Low
Lyon,25269.0,14.14,4.5,57730.0,148900.0,8.0,26.12,36.0,8,5106.0,1.5667841754798275,Low
Martin,20025.0,13.73,5.2,52798.0,118300.0,6.82,20.48,45.0,6,5447.0,1.1015237745548008,Low
McLeod,36771.0,8.51,5.7,62121.0,164700.0,6.87,17.6,41.0,11,8293.0,1.3264198721813578,Low
Meeker,23400.0,6.72,5.2,63452.0,170200.0,7.39,19.46,42.0,14,5491.0,2.549626661810235,Medium
Mille Lacs,26459.0,12.37,8.4,56135.0,163300.0,10.16,14.68,41.0,9,5927.0,1.518474776446769,Low
Morrison,34010.0,10.18,6.8,57815.0,170100.0,9.31,17.32,42.0,16,7878.0,2.030972328002031,Medium
Mower,40029.0,13.51,5.0,54295.0,123900.0,12.36,22.18,39.0,14,8625.0,1.6231884057971016,Low
Nicollet,34454.0,9.87,4.8,67399.0,191900.0,5.99,33.8,36.0,9,6503.0,1.3839766261725357,Low
Nobles,22290.0,13.55,4.2,55304.0,127100.0,23.75,15.31,36.0,4,4177.0,0.9576250897773522,Low
Olmsted,162847.0,8.43,5.4,76951.0,214600.0,5.4,44.9,37.0,48,29285.0,1.6390643674235956,Low
Otter Tail,60081.0,9.32,5.4,58682.0,189100.0,7.91,24.93,47.0,32,16838.0,1.9004632379142414,Low
Pine,28876.0,11.04,8.6,53422.0,164500.0,9.57,14.86,45.0,8,6546.0,1.2221203788573174,Low
Polk,31192.0,11.76,5.6,59343.0,165000.0,8.12,25.3,39.0,12,6789.0,1.7675651789659745,Low
Ramsey,552352.0,13.97,6.9,64660.0,229600.0,9.72,42.26,35.0,224,96300.0,2.3260643821391485,Medium
Rice,67097.0,9.16,5.2,68584.0,208600.0,8.93,28.29,37.0,34,12398.0,2.742377802871431,Medium
Scott,150928.0,5.51,5.9,102152.0,299700.0,5.34,39.86,37.0,27,19313.0,1.3980220576813545,Low
Sherburne,97183.0,6.42,6.1,89250.0,230500.0,5.39,26.58,36.0,24,13171.0,1.8221851036367778,Low
St. Louis,200231.0,14.07,7.2,55646.0,157900.0,5.51,29.32,41.0,76,46620.0,1.6302016302016302,Low
Stearns,158292.0,12.9,5.7,62789.0,184900.0,8.31,27.47,34.0,46,28495.0,1.6143183014563958,Low
Steele,37406.0,8.94,5.5,64903.0,169300.0,7.48,25.98,39.0,14,7655.0,1.8288700195950358,Low
Todd,25262.0,11.87,5.3,53585.0,153400.0,12.99,15.12,44.0,10,5721.0,1.7479461632581716,Low
Wabasha,21387.0,7.74,5.3,65226.0,183900.0,6.64,23.7,45.0,4,5374.0,0.744324525493115,Low
Washington,267568.0,4.29,5.6,96671.0,289400.0,3.94,44.27,40.0,86,47676.0,1.8038426042453226,Low
Winona,49671.0,12.9,4.9,59329.0,167300.0,6.53,30.07,35.0,10,10378.0,0.9635767970707265,Low
Wright,141337.0,4.61,5.5,84974.0,238500.0,5.09,29.59,37.0,23,20719.0,1.1100921859163086,Low
